,ID,LATNUM,LONGNUM
2134,TZ2011_728,"-5,053853","39,717887"
2135,TZ2011_73,"-6,916853","39,248938"
2138,TZ2011_736,"-6,820422","39,169523"
2140,TZ2011_74,"-5,855360","39,222034"
2149,TZ2011_757,"-6,181973","39,241395"
2150,TZ2011_758,"-5,232635","39,791734"
2153,TZ2011_765,"-6,144826","39,255632"
2154,TZ2011_766,"-4,855958","38,513055"
2157,TZ2011_769,"-8,636155","31,689914"
2158,TZ2011_771,"-1,082379","31,202009"
2161,TZ2011_779,"-5,056795","39,730180"
2165,TZ2011_784,"-6,629328","38,270605"
2166,TZ2011_788,"-3,253003","37,510172"
2168,TZ2011_793,"-5,009691","39,766127"
2173,TZ2011_800,"-6,337954","35,726345"
2175,TZ2011_802,"-6,181877","39,197970"
2176,TZ2011_803,"-8,504189","31,692484"
2179,TZ2011_807,"-5,063064","39,778002"
2180,TZ2011_809,"-4,289481","35,848520"
2187,TZ2011_819,"-6,161288","39,215166"
2191,TZ2011_824,"-10,828947","39,059833"
2193,TZ2011_828,"-4,947744","39,701510"
2194,TZ2011_829,"-8,024481","31,537537"
2201,TZ2011_841,"-5,745560","37,770638"
2203,TZ2011_843,"-5,594757","30,567883"
2206,TZ2011_849,"-7,309163","39,192187"
2207,TZ2011_852,"-3,275956","36,636598"
2208,TZ2011_853,"-6,750695","37,726078"
2212,TZ2011_86,"-6,116850","39,279241"
2213,TZ2011_862,"-6,771340","39,136691"
2214,TZ2011_863,"-2,986614","32,398488"
2215,TZ2011_864,"-3,342203","36,675038"
2216,TZ2011_866,"-1,970899","31,549496"
2218,TZ2011_869,"-4,500709","38,163259"
2220,TZ2011_872,"-6,130873","37,605332"
2223,TZ2011_876,"-6,179473","39,255953"
2225,TZ2011_878,"-6,157986","39,217852"
2228,TZ2011_883,"-10,348417","39,414007"
2229,TZ2011_885,"-9,346638","34,207896"
2232,TZ2011_89,"-6,271523","31,265952"
2236,TZ2011_895,"-4,906643","38,396393"
2238,TZ2011_897,"-1,879473","31,566961"
2242,TZ2011_901,"-1,771860","31,166038"
2245,TZ2011_909,"-2,622060","32,557046"
2249,TZ2011_915,"-5,962315","39,259080"
2251,TZ2011_94,"-4,937166","39,762784"
2255,CD2013_102,"-5,240645","14,856764"
2260,CD2013_109,"-5,225671","12,819241"
2261,CD2013_110,"-1,435962","29,365607"
2263,CD2013_113,"-4,919500","14,588221"
2265,CD2013_115,"-4,383546","15,312596"
2267,CD2013_117,"-4,417999","15,420102"
2268,CD2013_118,"-5,328278","13,288949"
2275,CD2013_127,"1,749017","30,566266"
2279,CD2013_130,"-4,998205","12,952315"
2281,CD2013_132,"2,857403","30,818843"
2282,CD2013_133,"0,169074","19,886586"
2283,CD2013_134,"-4,454910","15,412701"
2284,CD2013_135,"-6,405740","26,135818"
2286,CD2013_139,"-4,334283","20,661962"
2290,CD2013_143,"1,027419","18,568951"
2291,CD2013_144,"-2,671778","22,298388"
2294,CD2013_149,"-1,741311","17,575339"
2295,CD2013_15,"0,357718","29,348242"
